Time (sec), Heater 1 (%),Temperature 1 (degC), Energy balance (degC), FOPDT (degC)
1.308397274017333984e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.964479068059716838e+01,2.825108897426950705e+01
1.321628885269165039e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.969511768209753200e+01,2.830316446601697677e+01
1.334587752819061279e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.974380410327148638e+01,2.835361296895641559e+01
1.347265143394470215e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.979086231115525152e+01,2.840244131079970558e+01
1.360724489688873291e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.984021297051373267e+01,2.845371997808729247e+01
1.373857700824737549e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.988776919574269186e+01,2.850320474122797521e+01
1.386804387569427490e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.993407832521035061e+01,2.855145946496796583e+01
1.399628865718841553e+02,2.000000000000000000e+01,2.669900000000000162e+01,2.997939745113365007e+01,2.859874816856476087e+01
1.413229663372039795e+02,2.000000000000000000e+01,2.669900000000000162e+01,3.002686612607232064e+01,2.864835032187266961e+01
1.426251316070556641e+02,2.000000000000000000e+01,2.669900000000000162e+01,3.007174749417850990e+01,2.869531642984336628e+01
1.439298465251922607e+02,2.000000000000000000e+01,2.669900000000000162e+01,3.011616828226829057e+01,2.874186611989499340e+01
1.452739281654357910e+02,2.000000000000000000e+01,2.669900000000000162e+01,3.016136230870426971e+01,2.878929400816475948e+01
1.465667502880096436e+02,2.000000000000000000e+01,2.673100000000000165e+01,3.020429624782889277e+01,2.883441463329731391e+01
1.478801352977752686e+02,2.000000000000000000e+01,2.669900000000000162e+01,3.024738102267491513e+01,2.887975785419355645e+01
1.491752979755401611e+02,2.000000000000000000e+01,2.689300000000000068e+01,3.028934915142531281e+01,2.892398859854321103e+01
1.505209167003631592e+02,2.000000000000000000e+01,2.702100000000000080e+01,3.033241324307840614e+01,2.896943960065657464e+01
1.518403508663177490e+02,2.000000000000000000e+01,2.702100000000000080e+01,3.037411238285972104e+01,2.901351401043629608e+01
1.531269659996032715e+02,2.000000000000000000e+01,2.702100000000000080e+01,3.041427795545450863e+01,2.905602796693871426e+01
